Vrsta,Mjesto,Broj korisnika,Odobreno m3,Isporučeno m3,Preostalo m3
CIJEPANO,Bosanska Krupa,290,1648.5,981.0,703.5
CIJEPANO,Bosanska Otoka,60,336.0,132.5,231.0
CIJEPANO,Jezerski,5,31.5,0.0,31.5
CIJEPANO,Bužim,2,7.0,0.0,7.0
CIJEPANO,Pištaline,1,7.0,0.0,7.0
PORODICE ŠEHIDA,Bosanska Krupa,19,108.5,0.0,108.5
PORODICE ŠEHIDA,Bosanska Otoka,6,38.5,0.0,38.5
RVI,Bosanska Krupa,55,404.0,76.0,328.0
RVI,Jezerski,7,67.0,0.0,67.0
RVI,Bosanska Otoka,9,87.0,42.0,45.0
RVI,Mahmić Selo,3,22.0,0.0,22.0
RVI,Bastra Bb,1,15.0,0.0,15.0
RVI,Besica Brdo,1,10.0,0.0,10.0
RVI,Mahmic Most,1,10.0,0.0,10.0
RVI,Ljusina,1,5.0,0.0,5.0
RVI,Zalug,1,5.0,0.0,5.0
SINDIKAT,Bosanska Krupa,61,423.5,220.5,203.0
SINDIKAT,Polje Cazin,1,10.5,0.0,10.5
U DUGOM,Bosanska Krupa,36,275.0,175.0,100.0
U DUGOM,Bosanska Otoka,6,42.0,14.0,28.0
U DUGOM,Jezerski,1,10.0,0.0,10.0
U DUGOM,Mahmić Selo,1,7.0,0.0,7.0
U DUGOM,Pištaline,1,7.0,0.0,7.0
