Mjesto,Ulica,Adresa ključ,Preostalo CIJEPANO m3,Isporučeno CIJEPANO m3,Preostalo U DUGOM m3,Isporučeno U DUGOM m3,Preostalo RVI m3,Isporučeno RVI m3,Preostalo PORODICE ŠEHIDA m3,Isporučeno PORODICE ŠEHIDA m3,Preostalo SINDIKAT m3,Isporučeno SINDIKAT m3,Preostalo ukupno m3,Adresa za kartu,Lat,Lng
Bosanska Krupa,Branilaca Grada-kod Redže,Bosanska Krupa|BRANILACA GRADA,147.0,69.5,17.0,28.0,57.0,37.0,7.0,0.0,0.0,0.0,228.0,"Branilaca Grada-kod Redže, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,(bez ulice),Bosanska Krupa|(BEZ ULICE),0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,220.5,203.0,"Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Otoka,Voloder,Bosanska Otoka|VOLODER,70.0,17.0,0.0,7.0,35.0,22.0,14.0,0.0,0.0,0.0,119.0,"Voloder, Bosanska Otoka, Bosna i Hercegovina",,
Jezerski,Jezerski Bb Kanurići,Jezerski|JEZERSKI,31.5,0.0,10.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,108.5,"Jezerski Bb Kanurići, Jezerski, Bosna i Hercegovina",,
Bosanska Krupa,Hodžinac,Bosanska Krupa|HODZINAC,24.5,81.5,0.0,0.0,52.0,10.0,0.0,0.0,0.0,0.0,76.5,"Hodžinac, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Zalug,Bosanska Krupa|ZALUG,17.5,5.0,17.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,54.5,"Zalug, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Gen. Mir. Sedića,Bosanska Krupa|GEN MIR SEDICA,52.5,14.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,"Gen. Mir. Sedića, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Dana Nezavisnosti,Bosanska Krupa|DANA NEZAVISNOSTI,35.0,46.5,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,47.0,"Dana Nezavisnosti, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Dolovi,Bosanska Krupa|DOLOVI,38.5,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,43.5,"Dolovi, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Prvomajska,Bosanska Krupa|PRVOMAJSKA,28.0,31.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,"Prvomajska, Bosanska Krupa, Bosna i Hercegovina",,
