Mjesto,Ulica,Adresa ključ,Broj korisnika,Odobreno m3,Isporučeno m3,Preostalo m3,Isporučeno korisnika,Za isporuku korisnika,Status ulice
Bosanska Krupa,511 Sbbr,Bosanska Krupa|511 SBBR,3,14.0,0.0,14.0,0,3,NIJE POČETO
Bosanska Krupa,Ostružnica,Bosanska Krupa|OSTRUZNICA,2,14.0,0.0,14.0,0,2,NIJE POČETO
Bosanska Otoka,Voloder,Bosanska Otoka|VOLODER,2,14.0,0.0,14.0,0,2,NIJE POČETO
Bosanska Krupa,Bihaćka,Bosanska Krupa|BIHACKA,1,7.0,0.0,7.0,0,1,NIJE POČETO
Bosanska Krupa,Branilaca Grada-kod Redže,Bosanska Krupa|BRANILACA GRADA,1,7.0,0.0,7.0,0,1,NIJE POČETO
Bosanska Krupa,I Bkb,Bosanska Krupa|I BKB,1,7.0,0.0,7.0,0,1,NIJE POČETO
Bosanska Krupa,Jezersk-itrnovac Kod Hafizović(abid)amir,Bosanska Krupa|JEZERSK ITRNOVAC KOD HAFIZOVIC ABID AMIR,1,7.0,0.0,7.0,0,1,NIJE POČETO
Bosanska Krupa,Kobiljnjak Hodžinac,Bosanska Krupa|KOBILJNJAK HODZINAC,1,7.0,0.0,7.0,0,1,NIJE POČETO
Bosanska Krupa,Reisa Džemaludina Čauševića,Bosanska Krupa|REISA DZEMALUDINA CAUSEVICA,1,7.0,0.0,7.0,0,1,NIJE POČETO
Bosanska Krupa,Sokak,Bosanska Krupa|SOKAK,1,7.0,0.0,7.0,0,1,NIJE POČETO
Bosanska Krupa,Tarla,Bosanska Krupa|TARLA,1,7.0,0.0,7.0,0,1,NIJE POČETO
Bosanska Krupa,"Ul Pat,lige",Bosanska Krupa|PAT LIGE,1,7.0,0.0,7.0,0,1,NIJE POČETO
Bosanska Otoka,Novo Naselje,Bosanska Otoka|NOVO NASELJE,1,7.0,0.0,7.0,0,1,NIJE POČETO
Bosanska Otoka,Otočki Heroja Drva Isporučiti Kod Sina Kahrić Hasana,Bosanska Otoka|OTOCKI HEROJA DRVA ISPORUCITI KOD SINA KAHRIC HASANA,1,7.0,0.0,7.0,0,1,NIJE POČETO
Bosanska Otoka,Unska,Bosanska Otoka|UNSKA,1,7.0,0.0,7.0,0,1,NIJE POČETO
Bosanska Krupa,1 Bkb,Bosanska Krupa|1 BKB,1,3.5,0.0,3.5,0,1,NIJE POČETO
Bosanska Krupa,Hasana Brkića,Bosanska Krupa|HASANA BRKICA,1,3.5,0.0,3.5,0,1,NIJE POČETO
Bosanska Krupa,Mirsada Crnkića L6/29,Bosanska Krupa|MIRSADA CRNKICA L6,1,3.5,0.0,3.5,0,1,NIJE POČETO
Bosanska Krupa,Proleterska,Bosanska Krupa|PROLETERSKA,1,3.5,0.0,3.5,0,1,NIJE POČETO
Bosanska Krupa,Ul 10 Juli,Bosanska Krupa|10 JULA,1,3.5,0.0,3.5,0,1,NIJE POČETO
Bosanska Otoka,Manda,Bosanska Otoka|MANDA,1,3.5,0.0,3.5,0,1,NIJE POČETO
